Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
less | BSD Equivalent  | NA | True | NA
libgssapi3-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python-pip-whl | (MIT OR ISC OR MITNFA) | NA | True | NA
python-ldap | Python-2.0 | NA | True | NA
libxau6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libhcrypto4-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libkeyutils1 | GPL-2.0 | NA | True | NA
python-setuptools | Python-2.0 | NA | True | NA
python-cffi-backend | (MIT OR ISC OR MITNFA) | NA | True | NA
python-dbus | ((MIT OR ISC OR MITNFA) AND GPL-2.0) | NA | True | NA
ca-certificates | GPL-2.0 | NA | True | NA
libkrb5-26-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python-pip | (MIT OR ISC OR MITNFA) | NA | True | NA
dbus | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libroken18-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python-idna | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
pkg-config | LGPL-2.0 | NA | True | NA
libssl1.0.0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libk5crypto3 | (MIT OR ISC OR MITNFA) | NA | True | NA
python-cryptography | Apache-2.0 | NA | True | NA
python-enum34 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
openssh-client | ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND GPLV3) | NA | True | NA
libkrb5-3 | (MIT OR ISC OR MITNFA) | NA | True | NA
memcached | AFL-3.0 | NA | True | NA
libmagic1 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
mime-support | Public Domain | NA | True | NA
dirmngr | GPL-3.0 | NA | True | NA
manpages-dev | GPL-2.0 | NA | True | NA
openssl | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxext6 | ((MIT OR ISC OR MITNFA) AND GPL with exception) | NA | True | NA
shared-mime-info | GPL-2.0 | NA | True | NA
libdbus-1-3 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python-pkg-resources | Python-2.0 | NA | True | NA
gir1.2-glib-2.0 | LGPL-2.1 | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
perl | Artistic-1.0 | NA | True | NA
netbase | GPL-2.0 | NA | True | NA
python-gi | LGPL-2.1 | NA | True | NA
libwind0-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libheimntlm0-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libgssapi-krb5-2 | (MIT OR ISC OR MITNFA) | NA | True | NA
libapparmor1 | GPLv2 | NA | True | NA
libxml2 | (MIT OR ISC OR MITNFA) | NA | True | NA
python-memcache | Python-2.0 | NA | True | NA
python-ipaddress | Python-2.0 | NA | True | NA
libfakeroot | GPL-2.0 | NA | True | NA
file | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libkrb5support0 | (MIT OR ISC OR MITNFA) | NA | True | NA
python-six | (MIT OR ISC OR MITNFA) | NA | True | NA
libasn1-8-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libgirepository-1.0-1 | LGPL-2.1 | NA | True | NA
dpkg-dev | GPL-3.0 | NA | True | NA
libc-dev-bin | LGPL | NA | True | NA
python-ldappool | MPL-1.1 | NA | True | NA
python-keyring | (MIT OR ISC OR MITNFA) | NA | True | NA
libc6-dev | LGPL | NA | True | NA
manpages | GPL-2.0 | NA | True | NA
krb5-locales | (MIT OR ISC OR MITNFA) | NA | True | NA
libheimbase1-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libhx509-5-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python-wheel | (MIT OR ISC OR MITNFA) | NA | True | NA
python-crypto | Public Domain | NA | True | NA
libexpat1 |	MITÂ 	|NA|	part of expat |	NA|
libexpat1-dev |	 MIT	|NA CLI|	NA|	NA|
libglib2.0-0 |	GPL-2,LGPL-2	|NA|	part of glib|	NA|
libpython2.7-minimal |	Apache-2.0	|NA|	part of python|	NA|
libpython2.7-stdlib |	Apache-2.0	|NA|	part of python|	NA|
