Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, MIT License (MIT),pypi.org , NA, NA
coverage, Apache Software License (Apache 2.0),pypi.org , NA, NA
cryptography, BSD or Apache License,Container , NA, NA
enum34, BSD License,Container , NA, NA
funcsigs, ASL,Container , NA, NA
idna, BSD-like,Container , NA, NA
ipaddress, Python Software Foundation License,Container , NA, NA
keyring, MIT License |  Python Software Foundation License,pypi.org , NA, NA
keyrings.alt, MIT License,pypi.org , NA, NA
ldappool, Mozilla Public License 2.0 (MPL 2.0),pypi.org , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, MIT,Container , NA, NA
pip, MIT,Container , NA, NA
pluggy, MIT License (MIT license),pypi.org , NA, NA
py, MIT license,Container , NA, NA
pyasn1, BSD,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, Public Domain (Public domain),pypi.org , NA, NA
pygobject, GNU LGPL,Container , NA, NA
pytest, MIT license,Container , NA, NA
pytest-cov, BSD License (MIT),pypi.org , NA, NA
python-ldap, Python style,Container , NA, NA
python-memcached, Python Software Foundation License,pypi.org , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, New BSD License,Container , NA, NA
SecretStorage, BSD,Container , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, MIT,Container , NA, NA
wheel, MIT,Container , NA, NA
idna, BSD License (BSD-like),pypi.org , NA, NA
ipaddress, Python Software Foundation License (Python Software Foundation License),pypi.org , NA, NA
keyring, MIT License |  Python Software Foundation License,pypi.org , NA, NA
keyrings.alt, BSD or Apache License,Container , NA, NA
ldappool, BSD License,Container , NA, NA
more-itertools, ASL,Container , NA, NA
pathlib2, BSD-like,Container , NA, NA
pip, Python Software Foundation License,Container , NA, NA
pluggy, MIT License (MIT license),pypi.org , NA, NA
py, MIT License (MIT license),pypi.org , NA, NA
pyasn1, BSD License (BSD),pypi.org , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, MIT,Container , NA, NA
pygobject, MIT,Container , NA, NA
pytest, MIT License (MIT license),pypi.org , NA, NA
pytest-cov, MIT license,Container , NA, NA
python-ldap, BSD,Container , NA, NA
python-memcached, Python Software Foundation License,pypi.org , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, GNU LGPL,Container , NA, NA
SecretStorage, MIT license,Container , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, Python style,Container , NA, NA
wheel, MIT License (MIT),pypi.org , NA, NA
Package, BSD License (UNKNOWN),pypi.org , NA, NA
asn1crypto, BSD,Container , NA, NA
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, MIT,Container , NA, NA
coverage, MIT,Container , NA, NA
cryptography, BSD or Apache License,Container , NA, NA
enum34, BSD License,Container , NA, NA
funcsigs, ASL,Container , NA, NA
idna, BSD-like,Container , NA, NA
ipaddress, Python Software Foundation License,Container , NA, NA
keyring, MIT License |  Python Software Foundation License,pypi.org , NA, NA
keyrings.alt, MIT License,pypi.org , NA, NA
ldappool, Mozilla Public License 2.0 (MPL 2.0),pypi.org , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, MIT,Container , NA, NA
pip, MIT,Container , NA, NA
pluggy, MIT License (MIT license),pypi.org , NA, NA
py, MIT license,Container , NA, NA
pyasn1, BSD,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, Public Domain (Public domain),pypi.org , NA, NA
pygobject, GNU LGPL,Container , NA, NA
pytest, MIT license,Container , NA, NA
pytest-cov, BSD License (MIT),pypi.org , NA, NA
python-ldap, Python style,Container , NA, NA
python-memcached, Python Software Foundation License,pypi.org , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, New BSD License,Container , NA, NA
SecretStorage, BSD,Container , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, MIT,Container , NA, NA
wheel, MIT,Container , NA, NA
Package, BSD License (UNKNOWN),pypi.org , NA, NA
asn1crypto, MIT License (MIT),pypi.org , NA, NA
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, Python Software Foundation License,Container , NA, NA
