Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
unzip | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libbison-dev | GPL-3.0 | NA | True | NA
gawk | GPL-3.0 | NA | True | NA
bison | GPL-3.0 | NA | True | NA
acorn| MIT| Container| NA| NA
ajv| MIT| Container| NA| NA
ansi-styles| MIT| Container| NA| NA
async-foreach| | Container| NA| NA
autoprefixer| MIT| Container| NA| NA
axios| MIT| Container| NA| NA
babel-eslint| MIT| Container| NA| NA
babel-plugin-istanbul| BSD-3-Clause| Container| NA| NA
balanced-match| MIT| Container| NA| NA
bhttp| WTFPL| Container| NA| NA
bluebird| MIT| Container| NA| NA
body-parser| MIT| Container| NA| NA
bootstrap| MIT| Container| NA| NA
broken-link-checker| MIT| Container| NA| NA
browserslist| MIT| Container| NA| NA
browserstack| | Container| NA| NA
browserstacktunnel-wrapper| | Container| NA| NA
builtin-modules| MIT| Container| NA| NA
bundlesize| MIT| Container| NA| NA
bytes| MIT| Container| NA| NA
calmcard| MIT| Container| NA| NA
caniuse-lite| CC-BY-4.0| Container| NA| NA
chalk| MIT| Container| NA| NA
char-spinner| ISC| Container| NA| NA
chokidar| MIT| Container| NA| NA
ci-env| MIT| Container| NA| NA
clean-css| MIT| Container| NA| NA
clean-css-cli| MIT| Container| NA| NA
cli| MIT| Container| NA| NA
code-frame| MIT| Container| NA| NA
colors| MIT| Container| NA| NA
combine-lists| MIT| Container| NA| NA
commander| MIT| Container| NA| NA
commons| AFL/BSD| Container| NA| NA
condense-whitespace| MIT| Container| NA| NA
connect| MIT| Container| NA| NA
convert-source-map| MIT| Container| NA| NA
core| | Container| NA| NA
core-js| MIT| Container| NA| NA
corser| MIT| Container| NA| NA
cosmiconfig| MIT| Container| NA| NA
coveralls| BSD-2-Clause| Container| NA| NA
cross-env| MIT| Container| NA| NA
cross-spawn| MIT| Container| NA| NA
debug| MIT| Container| NA| NA
default-user-agent| MIT| Container| NA| NA
dependency-graph|  
{ type: 'MIT',
  url: 'http://github.com/jriecken/dependency-graph/raw/master/LICENSE' }| Container| NA| NA
di| MIT| Container| NA| NA
diff| BSD-3-Clause| Container| NA| NA
doctrine| Apache-2.0| Container| NA| NA
dom-serialize| MIT| Container| NA| NA
ecstatic| MIT| Container| NA| NA
errno| MIT| Container| NA| NA
es6-object-assign| MIT| Container| NA| NA
eslint| MIT| Container| NA| NA
eslint-scope| BSD-2-Clause| Container| NA| NA
eslint-utils| MIT| Container| NA| NA
eslint-visitor-keys| Apache-2.0| Container| NA| NA
espree| BSD-2-Clause| Container| NA| NA
esquery| BSD-3-Clause| Container| NA| NA
estree| | Container| NA| NA
estree-walker| MIT| Container| NA| NA
esutils| | Container| NA| NA
execall| MIT| Container| NA| NA
expand-braces| MIT| Container| NA| NA
extend| MIT| Container| NA| NA
extract-zip| BSD-2-Clause| Container| NA| NA
file-entry-cache| MIT| Container| NA| NA
find-unused-sass-variables| MIT| Container| NA| NA
find-up| MIT| Container| NA| NA
flatted| ISC| Container| NA| NA
formatio| BSD-3-Clause| Container| NA| NA
fs-access| MIT| Container| NA| NA
fs-extra| MIT| Container| NA| NA
fs-readdir-recursive| MIT| Container| NA| NA
fs.realpath| ISC| Container| NA| NA
functional-red-black-tree| MIT| Container| NA| NA
gaze| MIT| Container| NA| NA
generator| MIT| Container| NA| NA
get-stdin| MIT| Container| NA| NA
github-build| MIT| Container| NA| NA
glob| ISC| Container| NA| NA
global-modules| MIT| Container| NA| NA
globals| MIT| Container| NA| NA
globby| MIT| Container| NA| NA
globjoin| MIT| Container| NA| NA
graceful-fs| ISC| Container| NA| NA
growl| MIT| Container| NA| NA
gzip-size| MIT| Container| NA| NA
hammer-simulator| MIT| Container| NA| NA
hasha| MIT| Container| NA| NA
helper-module-imports| | Container| NA| NA
helper-plugin-utils| | Container| NA| NA
helpers| MIT| Container| NA| NA
html-tags| MIT| Container| NA| NA
http-equiv-refresh| MIT| Container| NA| NA
http-proxy| MIT| Container| NA| NA
http-server| MIT| Container| NA| NA
humanize-duration| Unlicense| Container| NA| NA
ignore| MIT| Container| NA| NA
ignore-by-default| ISC| Container| NA| NA
import-fresh| MIT| Container| NA| NA
import-lazy| MIT| Container| NA| NA
imurmurhash| MIT| Container| NA| NA
inflight| ISC| Container| NA| NA
inherits| ISC| Container| NA| NA
in-publish| ISC| Container| NA| NA
inquirer| MIT| Container| NA| NA
interpret| MIT| Container| NA| NA
invariant| MIT| Container| NA| NA
ip| MIT| Container| NA| NA
isbinaryfile| MIT| Container| NA| NA
is-module| MIT| Container| NA| NA
is-stream| MIT| Container| NA| NA
is-string| MIT| Container| NA| NA
istanbul-api| BSD-3-Clause| Container| NA| NA
istanbul-lib-instrument| BSD-3-Clause| Container| NA| NA
is-windows| MIT| Container| NA| NA
jquery| MIT| Container| NA| NA
js-levenshtein| MIT| Container| NA| NA
json5| MIT| Container| NA| NA
json-stable-stringify-without-jsonify| MIT| Container| NA| NA
js-reporters| MIT| Container| NA| NA
js-yaml| MIT| Container| NA| NA
karma| MIT| Container| NA| NA
karma-browserstack-launcher| MIT| Container| NA| NA
karma-chrome-launcher| MIT| Container| NA| NA
karma-coverage-istanbul-reporter| MIT| Container| NA| NA
karma-detect-browsers| MIT| Container| NA| NA
karma-firefox-launcher| MIT| Container| NA| NA
karma-qunit| MIT| Container| NA| NA
karma-sinon| | Container| NA| NA
kew| Apache-2.0| Container| NA| NA
known-css-properties| MIT| Container| NA| NA
lcov-parse| BSD-3-Clause| Container| NA| NA
leven| MIT| Container| NA| NA
levn| MIT| Container| NA| NA
limited-request-queue| MIT| Container| NA| NA
link-types| MIT| Container| NA| NA
lodash| MIT| Container| NA| NA
lodash.assign| MIT| Container| NA| NA
lodash.clonedeep| MIT| Container| NA| NA
lodash.mergewith| MIT| Container| NA| NA
log4js| Apache-2.0| Container| NA| NA
log-driver| ISC| Container| NA| NA
log-symbols| MIT| Container| NA| NA
lolex| BSD-3-Clause| Container| NA| NA
magic-string| MIT| Container| NA| NA
mathml-tag-names| MIT| Container| NA| NA
maybe-callback| MIT| Container| NA| NA
memorystream| | Container| NA| NA
meow| MIT| Container| NA| NA
micromatch| MIT| Container| NA| NA
mime| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
minimist| MIT| Container| NA| NA
mkdirp| MIT| Container| NA| NA
nan| MIT| Container| NA| NA
natural-compare| MIT| Container| NA| NA
nise| BSD-3-Clause| Container| NA| NA
node| ISC| Container| NA| NA
node-gyp| MIT| Container| NA| NA
nodemon| MIT| Container| NA| NA
node-sass| MIT| Container| NA| NA
node-watch| MIT| Container| NA| NA
nopter| | Container| NA| NA
normalize-range| MIT| Container| NA| NA
normalize-selector| MIT| Container| NA| NA
npmlog| ISC| Container| NA| NA
npm-run-all| MIT| Container| NA| NA
num2fraction| MIT| Container| NA| NA
once| ISC| Container| NA| NA
