Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libssl1.0.0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libk5crypto3 | (MIT OR ISC OR MITNFA) | NA | True | NA
libidn11 | GPL-3.0 | NA | True | NA
libhcrypto4-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libwind0-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
librtmp1 | GPL-2.0 | NA | True | NA
libroken18-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libgssapi3-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
wget | GPL-3.0 | NA | True | NA
curl | (MIT OR ISC OR MITNFA) | NA | True | NA
libkrb5support0 | (MIT OR ISC OR MITNFA) | NA | True | NA
bzip2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libasn1-8-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libffi6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libgnutls30 | LGPL-2.1 | NA | True | NA
libkrb5-3 | (MIT OR ISC OR MITNFA) | NA | True | NA
libkeyutils1 | GPL-2.0 | NA | True | NA
libnettle6 | LGPL-3.0 | NA | True | NA
libgmp10 | LGPL-3.0 | NA | True | NA
ca-certificates | GPL-2.0 | NA | True | NA
krb5-locales | (MIT OR ISC OR MITNFA) | NA | True | NA
libheimntlm0-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libhogweed4 | LGPL-3.0 | NA | True | NA
libgssapi-krb5-2 | (MIT OR ISC OR MITNFA) | NA | True | NA
libheimbase1-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libcurl3-gnutls | (MIT OR ISC OR MITNFA) | NA | True | NA
libkrb5-26-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
openssl | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libp11-kit0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libhx509-5-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libtasn1-6 | GPL-3.0 | NA | True | NA
libsasl2-2 |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsasl2-modules |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsasl2-modules-db |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsqlite3-0 |	LGPL-2.1	|NA|	Source package sqlite3|	NA|
blosc| MIT License (https://opensource.org/licenses/BSD-3-Clause)|pypi.org | NA| NA
bokeh| Freely Distributable |  OSI Approved (New BSD)|pypi.org | NA| NA
cffi|MIT|Container | NA| NA
Click| BSD License (BSD)|pypi.org | NA| NA
cloudpickle| BSD License (BSD 3-Clause License)|pypi.org | NA| NA
conda| BSD|pypi.org | NA| NA
cryptography|BSD or Apache License|Container | NA| NA
cytoolz| BSD License (BSD)|pypi.org | NA| NA
dask| BSD|pypi.org | NA| NA
distributed| BSD License (BSD)|pypi.org | NA| NA
heapdict| BSD License (BSD)|pypi.org | NA| NA
idna|BSD-like|Container | NA| NA
Jinja2|BSD|Container | NA| NA
locket| BSD License (UNKNOWN)|pypi.org | NA| NA
MarkupSafe|BSD|Container | NA| NA
msgpack| Apache Software License (Apache 2.0)|pypi.org | NA| NA
numpy|BSD|Container | NA| NA
olefile| BSD License (BSD)|pypi.org | NA| NA
packaging| Apache Software License |  BSD License (BSD or Apache License |  Version 2.0)|pypi.org | NA| NA
pandas|BSD|Container | NA| NA
partd| BSD|pypi.org | NA| NA
Pillow|Standard PIL License|Container | NA| NA
pip|MIT|Container | NA| NA
psutil|BSD|Container | NA| NA
pyasn1|BSD|Container | NA| NA
pycosat| MIT|pypi.org | NA| NA
pycparser|BSD|Container | NA| NA
pyOpenSSL|APL2|Container | NA| NA
pyparsing| MIT License (MIT License)|pypi.org | NA| NA
python-dateutil|Simplified BSD|Container | NA| NA
pytz|MIT|Container | NA| NA
PyYAML|MIT|Container | NA| NA
requests|Apache 2.0|Container | NA| NA
setuptools| MIT License|pypi.org | NA| NA
six|MIT|Container | NA| NA
sortedcontainers| Apache Software License (Apache 2.0)|pypi.org | NA| NA
tblib| BSD License (BSD)|pypi.org | NA| NA
toolz| BSD License (BSD)|pypi.org | NA| NA
tornado|http://www.apache.org/licenses/LICENSE-2.0|Container | NA| NA
wheel|MIT|Container | NA| NA
zict| BSD|pypi.org | NA| NA
