Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
clean-css| MIT| Container| NA| NA
cli| MIT| Container| NA| NA
console-browserify| | Container| NA| NA
css-b64-images| | Container| NA| NA
debug| MIT| Container| NA| NA
execon| MIT| Container| NA| NA
exit| | Container| NA| NA
html-minifier| MIT| Container| NA| NA
htmlparser2| MIT| Container| NA| NA
intro.js| AGPL-3.0| Container| NA| NA
jshint| (MIT AND JSON)| Container| NA| NA
lodash| MIT| Container| NA| NA
minify| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
shelljs| BSD-3-Clause| Container| NA| NA
strip-json-comments| MIT| Container| NA| NA
tomas| MIT| Container| NA| NA
try-catch| MIT| Container| NA| NA
uglify-js| BSD-2-Clause| Container| NA| NA
