Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
java-common | GPL-2.0 | NA | True | NA
less | BSD Equivalent  | NA | True | NA
libavahi-common3 | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
libmnl0 | LGPL-2.1 | NA | True | NA
libglapi-mesa | (MIT OR ISC OR MITNFA) | NA | True | NA
fonts-dejavu-core | (MIT OR ISC OR MITNFA) | NA | True | NA
libtiff5 | ((MIT OR ISC OR MITNFA) AND GPL-2.0) | NA | True | NA
libguice-java | Apache-2.0 | NA | True | NA
libasyncns0 | LGPL-2.0 | NA | True | NA
libwagon-java | Apache-2.0 | NA | True | NA
libjetty-java | (Apache-2.0 AND CC-BY-3.0 AND SIL-OFL) | NA | True | NA
fontconfig | (MIT OR ISC OR MITNFA) | NA | True | NA
libmaven3-core-java | Apache-2.0 | NA | True | NA
libxrender1 | Python-2.0 | NA | True | NA
libeasymock-java | Apache-2.0 | NA | True | NA
libdom4j-java | jdom | NA | True | NA
libkeyutils1 | GPL-2.0 | NA | True | NA
libxbean-java | Apache-2.0 | NA | True | NA
libxcb-present0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libsndfile1 | LGPL-2.0 | NA | True | NA
libxfixes3 | ((MIT OR ISC OR MITNFA) AND GPLv3) | NA | True | NA
libthai-data | GPL-2.0 | NA | True | NA
libgdk-pixbuf2.0-common | GPL-2.0 | NA | True | NA
libcap-ng0 | GPL-2.0 | NA | True | NA
libslf4j-java | Apache-2.0 | NA | True | NA
ca-certificates | GPL-2.0 | NA | True | NA
libjsoup-java | (MIT OR ISC OR MITNFA) | NA | True | NA
libxau6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxt6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libcommons-httpclient-java | Apache-2.0 | NA | True | NA
libcommons-parent-java | Apache-2.0 | NA | True | NA
dbus | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libfontconfig1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libssl1.0.0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libk5crypto3 | (MIT OR ISC OR MITNFA) | NA | True | NA
libidn11 | GPL-3.0 | NA | True | NA
libogg0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libavahi-client3 | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
libasound2-data | LGPL-2.1 | NA | True | NA
libplexus-sec-dispatcher-java | Apache-2.0 | NA | True | NA
libxcb-shm0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libpng12-0 | zliblibpng | NA | True | NA
libgdk-pixbuf2.0-0 | GPL-2.0 | NA | True | NA
libperl5.22 | Artistic-1.0 | NA | True | NA
libvorbisenc2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libplexus-utils-java | Apache-2.0 | NA | True | NA
libkrb5-3 | (MIT OR ISC OR MITNFA) | NA | True | NA
libplexus-container-default-java | Apache-2.0 | NA | True | NA
libplexus-classworlds-java | Apache-2.0 | NA | True | NA
fonts-dejavu-extra | (MIT OR ISC OR MITNFA) | NA | True | NA
libharfbuzz0b | (MIT OR ISC OR MITNFA) | NA | True | NA
libedit2 | ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND GPL-2.0) | NA | True | NA
libdatrie1 | LGPL-2.1 | NA | True | NA
libclassworlds-java | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
openssl | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
fontconfig-config | (MIT OR ISC OR MITNFA) | NA | True | NA
libx11-xcb1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libdoxia-core-java | Apache-2.0 | NA | True | NA
libxtst6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxcb1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libx11-data | (MIT OR ISC OR MITNFA) | NA | True | NA
libdbus-1-3 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libcdi-api-java | Apache-2.0 | NA | True | NA
ucf | GPL-2.0 | NA | True | NA
libcups2 | GPL-2.0 | NA | True | NA
libxcb-dri3-0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxcursor1 | (MIT OR ISC OR MITNFA) | NA | True | NA
ant-optional | Apache-2.0 | NA | True | NA
libbsd0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libplexus-interpolation-java | Apache-2.0 | NA | True | NA
libffi6 | (MIT OR ISC OR MITNFA) | NA | True | NA
perl | Artistic-1.0 | NA | True | NA
libbsh-java | LGPL-2.1 | NA | True | NA
libxi6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libpopt0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libcairo2 | GPL-2.0 | NA | True | NA
x11-common | (MIT OR ISC OR MITNFA) | NA | True | NA
libxcb-glx0 | (MIT OR ISC OR MITNFA) | NA | True | NA
netbase | GPL-2.0 | NA | True | NA
libgl1-mesa-dri | (MIT OR ISC OR MITNFA) | NA | True | NA
libpulse0 | LGPL-2.1 | NA | True | NA
libxom-java | LGPL-2.1 | NA | True | NA
libgmp10 | LGPL-3.0 | NA | True | NA
libguava-java | Apache-2.0 | NA | True | NA
libcommons-io-java | Apache-2.0 | NA | True | NA
libxext6 | ((MIT OR ISC OR MITNFA) AND GPL with exception) | NA | True | NA
maven | Apache-2.0 | NA | True | NA
libgssapi-krb5-2 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxcb-dri2-0 | (MIT OR ISC OR MITNFA) | NA | True | NA
shared-mime-info | GPL-2.0 | NA | True | NA
libplexus-io-java | Apache-2.0 | NA | True | NA
libgraphite2-3 | LGPL-2.1 | NA | True | NA
libplexus-archiver-java | Apache-2.0 | NA | True | NA
libplexus-interactivity-api-java | (MIT OR ISC OR MITNFA) | NA | True | NA
libxcb-render0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxdmcp6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libtasn1-6 | GPL-3.0 | NA | True | NA
libjson-c2 | (MIT OR ISC OR MITNFA) | NA | True | NA
libgl1-mesa-glx | (MIT OR ISC OR MITNFA) | NA | True | NA
libpixman-1-0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxml2 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxrandr2 | Python-2.0 | NA | True | NA
libfreetype6 | Freetype | NA | True | NA
ant | Apache-2.0 | NA | True | NA
libice6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libasound2 | LGPL-2.1 | NA | True | NA
libjpeg-turbo8 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libsm6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libkrb5support0 | (MIT OR ISC OR MITNFA) | NA | True | NA
openssh-client | ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND GPLV3) | NA | True | NA
libp11-kit0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libicu55 | Unicode | NA | True | NA
libthai0 | GPL-2.0 | NA | True | NA
libgnutls30 | LGPL-2.1 | NA | True | NA
libvorbis0a | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libobjenesis-java | Apache-2.0 | NA | True | NA
libx11-6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libnettle6 | LGPL-3.0 | NA | True | NA
rsync | GPL-3.0 | NA | True | NA
libjsch-java | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxcb-sync1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libavahi-common-data | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
libsensors4 | GPL-2.0 | NA | True | NA
krb5-locales | (MIT OR ISC OR MITNFA) | NA | True | NA
libhogweed4 | LGPL-3.0 | NA | True | NA
