Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libjs-node-uuid | (MIT OR ISC OR MITNFA) | NA | True | NA
libavahi-common3 | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
git-man | GPL-2.0 | NA | True | NA
libgssapi3-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libtiff5 | ((MIT OR ISC OR MITNFA) AND GPL-2.0) | NA | True | NA
avahi-daemon | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
libxcb-present0 | (MIT OR ISC OR MITNFA) | NA | True | NA
node-delayed-stream | (MIT OR ISC OR MITNFA) | NA | True | NA
libk5crypto3 | (MIT OR ISC OR MITNFA) | NA | True | NA
node-mkdirp | (MIT OR ISC OR MITNFA) | NA | True | NA
libpolkit-gobject-1-0 | LGPL-2.0 | NA | True | NA
libxcb-shm0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxrandr2 | Python-2.0 | NA | True | NA
usb-modeswitch | GPL-2.0 | NA | True | NA
manpages-dev | GPL-2.0 | NA | True | NA
pinentry-curses | GPL-2.0 | NA | True | NA
libxmuu1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libcups2 | GPL-2.0 | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
python3-gi | LGPL-2.1 | NA | True | NA
perl | Artistic-1.0 | NA | True | NA
libgbm1 | (MIT OR ISC OR MITNFA) | NA | True | NA
dconf-service | LGPL-2.0 | NA | True | NA
libepoxy0 | ((MIT OR ISC OR MITNFA) AND GPLv3) | NA | True | NA
node-tar | (MIT OR ISC OR MITNFA) | NA | True | NA
libcroco3 | GPL-3.0 | NA | True | NA
node-graceful-fs | (MIT OR ISC OR MITNFA) | NA | True | NA
libgl1-mesa-glx | (MIT OR ISC OR MITNFA) | NA | True | NA
gpgsm | GPL-3.0 | NA | True | NA
libwind0-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
xauth | (MIT OR ISC OR MITNFA) | NA | True | NA
gcc | GPL-2.0 | NA | True | NA
libnpth0 | LGPL-3.0 | NA | True | NA
npm | Artistic-2.0 | NA | True | NA
node-qs | (MIT OR ISC OR MITNFA) | NA | True | NA
multiarch-support | LGPL | NA | True | NA
binutils-powerpc64le-linux-gnu | GPL-3.0 | NA | True | NA
libxcb-xfixes0 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxshmfence1 | Unique | NA | True | NA
libavahi-core7 | (GPL-2.0 AND LGPL-2.1) | NA | True | NA
fonts-dejavu-core | (MIT OR ISC OR MITNFA) | NA | True | NA
libroken18-heimdal | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libjson-glib-1.0-common | (GPLv3 AND LGPL-2.1) | NA | True | NA
node-semver | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libjs-jquery | (MIT OR ISC OR MITNFA) | NA | True | NA
systemd | LGPL-2.1 | NA | True | NA
phantomjs | ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND CC 2.0 AND LGPL) | NA | True | NA
libx11-xcb1 | (MIT OR ISC OR MITNFA) | NA | True | NA
libinput10 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxfixes3 | ((MIT OR ISC OR MITNFA) AND GPLv3) | NA | True | NA
publicsuffix | MPL-2.0 | NA | True | NA
