Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
accept-language| MIT| Container| NA| NA
async| MIT| Container| NA| NA
aws4| MIT| Container| NA| NA
aws-sign2| Apache-2.0| Container| NA| NA
bcryptjs| MIT| Container| NA| NA
bluebird| MIT| Container| NA| NA
body-parser| MIT| Container| NA| NA
browser-stdout| ISC| Container| NA| NA
canonical-json| BSD| Container| NA| NA
caseless| Apache-2.0| Container| NA| NA
combined-stream| MIT| Container| NA| NA
commander| MIT| Container| NA| NA
compress| MIT| Container| NA| NA
debug| MIT| Container| NA| NA
depd| MIT| Container| NA| NA
diff| BSD-3-Clause| Container| NA| NA
ejs| Apache-2.0| Container| NA| NA
escape-string-regexp| MIT| Container| NA| NA
express| MIT| Container| NA| NA
extend| MIT| Container| NA| NA
forever-agent| Apache-2.0| Container| NA| NA
form-data| MIT| Container| NA| NA
glob| ISC| Container| NA| NA
globalize| MIT| Container| NA| NA
growl| MIT| Container| NA| NA
har-validator| MIT| Container| NA| NA
he| MIT| Container| NA| NA
httpntlm| | Container| NA| NA
http-signature| MIT| Container| NA| NA
inflection| MIT| Container| NA| NA
isemail| BSD-3-Clause| Container| NA| NA
isstream| MIT| Container| NA| NA
is-typedarray| MIT| Container| NA| NA
json-stringify-safe| ISC| Container| NA| NA
lodash| MIT| Container| NA| NA
loopback| MIT| Container| NA| NA
loopback-connector-remote| MIT| Container| NA| NA
loopback-connector-soap| MIT| Container| NA| NA
loopback-datasource-juggler| MIT| Container| NA| NA
loopback-filters| MIT| Container| NA| NA
loopback-phase| MIT| Container| NA| NA
md5| BSD-3-Clause| Container| NA| NA
mime-types| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
mkdirp| MIT| Container| NA| NA
mocha| MIT| Container| NA| NA
ms| MIT| Container| NA| NA
nodemailer| MIT| Container| NA| NA
nodemailer-direct-transport| MIT| Container| NA| NA
nodemailer-stub-transport| MIT| Container| NA| NA
oauth-sign| Apache-2.0| Container| NA| NA
optional| MIT| Container| NA| NA
os-locale| MIT| Container| NA| NA
path| MIT| Container| NA| NA
performance-now| MIT| Container| NA| NA
qs| BSD-3-Clause| Container| NA| NA
request| Apache-2.0| Container| NA| NA
safe-buffer| MIT| Container| NA| NA
sax| ISC| Container| NA| NA
selectn| MIT| Container| NA| NA
serve-favicon| MIT| Container| NA| NA
should| MIT| Container| NA| NA
should-equal| MIT| Container| NA| NA
should-format| MIT| Container| NA| NA
should-type| MIT| Container| NA| NA
should-type-adaptors| MIT| Container| NA| NA
should-util| MIT| Container| NA| NA
stable| MIT| Container| NA| NA
strong-globalize| Artistic-2.0| Container| NA| NA
strong-remoting| Artistic-2.0| Container| NA| NA
strong-soap| MIT| Container| NA| NA
strong-ursa| Apache-2.0| Container| NA| NA
supports-color| MIT| Container| NA| NA
tough-cookie| BSD-3-Clause| Container| NA| NA
tunnel-agent| Apache-2.0| Container| NA| NA
uid2| | Container| NA| NA
underscore.string| MIT| Container| NA| NA
uuid| MIT| Container| NA| NA
xmlbuilder| MIT| Container| NA| NA
xml-crypto| MIT| Container| NA| NA
yamljs| MIT| Container| NA| NA
