Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
accept-language| MIT| Container| NA| NA
ajv| MIT| Container| NA| NA
archy| MIT| Container| NA| NA
arrify| MIT| Container| NA| NA
async| MIT| Container| NA| NA
async-iterators| MIT| Container| NA| NA
bluebird| MIT| Container| NA| NA
brace-expansion| MIT| Container| NA| NA
browser-stdout| ISC| Container| NA| NA
bson| Apache-2.0| Container| NA| NA
buffer| MIT| Container| NA| NA
caching-transform| MIT| Container| NA| NA
chalk| MIT| Container| NA| NA
code-frame| MIT| Container| NA| NA
commander| MIT| Container| NA| NA
convert-source-map| MIT| Container| NA| NA
coveralls| BSD-2-Clause| Container| NA| NA
cross-spawn| MIT| Container| NA| NA
debug| MIT| Container| NA| NA
debug-log| MIT| Container| NA| NA
depd| MIT| Container| NA| NA
diff| BSD-3-Clause| Container| NA| NA
doctrine| Apache-2.0| Container| NA| NA
escape-string-regexp| MIT| Container| NA| NA
eslint| MIT| Container| NA| NA
eslint-config-loopback| MIT| Container| NA| NA
eslint-plugin-mocha| MIT| Container| NA| NA
eslint-scope| BSD-2-Clause| Container| NA| NA
eslint-utils| MIT| Container| NA| NA
eslint-visitor-keys| Apache-2.0| Container| NA| NA
espree| BSD-2-Clause| Container| NA| NA
esquery| BSD-3-Clause| Container| NA| NA
esutils| | Container| NA| NA
file-entry-cache| MIT| Container| NA| NA
find-cache-dir| MIT| Container| NA| NA
find-up| MIT| Container| NA| NA
foreground-child| ISC| Container| NA| NA
functional-red-black-tree| MIT| Container| NA| NA
glob| ISC| Container| NA| NA
globalize| MIT| Container| NA| NA
globals| MIT| Container| NA| NA
growl| MIT| Container| NA| NA
he| MIT| Container| NA| NA
ignore| MIT| Container| NA| NA
import-fresh| MIT| Container| NA| NA
imurmurhash| MIT| Container| NA| NA
inflection| MIT| Container| NA| NA
inquirer| MIT| Container| NA| NA
istanbul-lib-coverage| BSD-3-Clause| Container| NA| NA
istanbul-lib-hook| BSD-3-Clause| Container| NA| NA
istanbul-lib-instrument| BSD-3-Clause| Container| NA| NA
istanbul-lib-report| BSD-3-Clause| Container| NA| NA
istanbul-lib-source-maps| BSD-3-Clause| Container| NA| NA
istanbul-reports| BSD-3-Clause| Container| NA| NA
json-stable-stringify-without-jsonify| MIT| Container| NA| NA
js-yaml| MIT| Container| NA| NA
lcov-parse| BSD-3-Clause| Container| NA| NA
levn| MIT| Container| NA| NA
lodash| MIT| Container| NA| NA
log-driver| ISC| Container| NA| NA
long| Apache-2.0| Container| NA| NA
loopback-connector| MIT| Container| NA| NA
loopback-connector-throwing| | Container| NA| NA
loopback-datasource-juggler| MIT| Container| NA| NA
make-dir| MIT| Container| NA| NA
md5| BSD-3-Clause| Container| NA| NA
merge-source-map| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
minimist| MIT| Container| NA| NA
mkdirp| MIT| Container| NA| NA
mocha| MIT| Container| NA| NA
ms| MIT| Container| NA| NA
msgpack5| MIT| Container| NA| NA
nanoid| MIT| Container| NA| NA
natural-compare| MIT| Container| NA| NA
node| ISC| Container| NA| NA
nyc| ISC| Container| NA| NA
optionator| MIT| Container| NA| NA
os-locale| MIT| Container| NA| NA
path-is-inside| (WTFPL OR MIT)| Container| NA| NA
pluralize| MIT| Container| NA| NA
progress| MIT| Container| NA| NA
qs| BSD-3-Clause| Container| NA| NA
regexpp| MIT| Container| NA| NA
request| Apache-2.0| Container| NA| NA
resolve-from| MIT| Container| NA| NA
rimraf| ISC| Container| NA| NA
semver| ISC| Container| NA| NA
shortid| MIT| Container| NA| NA
should| MIT| Container| NA| NA
should-equal| MIT| Container| NA| NA
should-format| MIT| Container| NA| NA
should-type| MIT| Container| NA| NA
signal-exit| ISC| Container| NA| NA
spawn-wrap| ISC| Container| NA| NA
strip-ansi| MIT| Container| NA| NA
strip-json-comments| MIT| Container| NA| NA
strong-globalize| Artistic-2.0| Container| NA| NA
supports-color| MIT| Container| NA| NA
table| BSD-3-Clause| Container| NA| NA
test-exclude| ISC| Container| NA| NA
text-table| MIT| Container| NA| NA
traverse| MIT| Container| NA| NA
typescript| Apache-2.0| Container| NA| NA
uuid| MIT| Container| NA| NA
yamljs| MIT| Container| NA| NA
yargs| MIT| Container| NA| NA
yargs-parser| ISC| Container| NA| NA
