Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
mako|MIT License|openhub.net|NA|https://www.openhub.net/p/mako
abbrev| ISC| Container| NA| NA
assertion-error| MIT| Container| NA| NA
async| MIT| Container| NA| NA
browser-stdout| ISC| Container| NA| NA
chai| MIT| Container| NA| NA
chai-as-promised| WTFPL| Container| NA| NA
chalk| MIT| Container| NA| NA
check-error| MIT| Container| NA| NA
cli-table| | Container| NA| NA
cmd-shim| BSD-2-Clause| Container| NA| NA
columnify| MIT| Container| NA| NA
commander| MIT| Container| NA| NA
command-join| MIT| Container| NA| NA
conventional-changelog-cli| MIT| Container| NA| NA
conventional-recommended-bump| MIT| Container| NA| NA
coveralls| BSD-2-Clause| Container| NA| NA
cvss| ISC| Container| NA| NA
debug| MIT| Container| NA| NA
dedent| MIT| Container| NA| NA
deep-eql| MIT| Container| NA| NA
diff| BSD-3-Clause| Container| NA| NA
escape-string-regexp| MIT| Container| NA| NA
escodegen| BSD-2-Clause| Container| NA| NA
eslint| MIT| Container| NA| NA
eslint-config-standard| MIT| Container| NA| NA
eslint-config-standard-jsx| MIT| Container| NA| NA
eslint-plugin-import| MIT| Container| NA| NA
eslint-plugin-node| MIT| Container| NA| NA
eslint-plugin-promise| ISC| Container| NA| NA
eslint-plugin-react| MIT| Container| NA| NA
eslint-plugin-standard| MIT| Container| NA| NA
esprima| BSD-2-Clause| Container| NA| NA
execa| MIT| Container| NA| NA
find-up| MIT| Container| NA| NA
fs-extra| MIT| Container| NA| NA
get-port| MIT| Container| NA| NA
glob| ISC| Container| NA| NA
globby| MIT| Container| NA| NA
glob-parent| ISC| Container| NA| NA
graceful-fs| ISC| Container| NA| NA
growl| MIT| Container| NA| NA
handlebars| MIT| Container| NA| NA
he| MIT| Container| NA| NA
hosted-git-info| ISC| Container| NA| NA
https-proxy-agent| MIT| Container| NA| NA
inquirer| MIT| Container| NA| NA
is-ci| MIT| Container| NA| NA
istanbul| BSD-3-Clause| Container| NA| NA
istanbul-combine| MIT| Container| NA| NA
istanbul-coveralls| MIT| Container| NA| NA
joi| BSD-3-Clause| Container| NA| NA
json3| | Container| NA| NA
js-yaml| MIT| Container| NA| NA
lerna| MIT| Container| NA| NA
load-json-file| MIT| Container| NA| NA
lodash| MIT| Container| NA| NA
lodash.create| MIT| Container| NA| NA
mako| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
minimist| MIT| Container| NA| NA
mkdirp| MIT| Container| NA| NA
mocha| MIT| Container| NA| NA
nodesecurity-npm-utils| MIT| Container| NA| NA
nopt| ISC| Container| NA| NA
npmlog| ISC| Container| NA| NA
nsp| Apache-2.0| Container| NA| NA
once| ISC| Container| NA| NA
package-json| MIT| Container| NA| NA
path-exists| MIT| Container| NA| NA
path-is-absolute| MIT| Container| NA| NA
p-finally| MIT| Container| NA| NA
q| MIT| Container| NA| NA
rc| (BSD-2-Clause OR MIT OR Apache-2.0)| Container| NA| NA
read-cmd-shim| ISC| Container| NA| NA
read-pkg| MIT| Container| NA| NA
resolve| MIT| Container| NA| NA
rimraf| ISC| Container| NA| NA
safe-buffer| MIT| Container| NA| NA
semver| ISC| Container| NA| NA
signal-exit| ISC| Container| NA| NA
slash| MIT| Container| NA| NA
standard| MIT| Container| NA| NA
standard-engine| MIT| Container| NA| NA
strong-log-transformer| Apache-2.0| Container| NA| NA
subcommand| BSD-2-Clause| Container| NA| NA
sum-up| ISC| Container| NA| NA
supports-color| MIT| Container| NA| NA
temp-write| MIT| Container| NA| NA
type-detect| MIT| Container| NA| NA
which| ISC| Container| NA| NA
wordwrap| MIT| Container| NA| NA
wreck| BSD-3-Clause| Container| NA| NA
write-file-atomic| ISC| Container| NA| NA
write-json-file| MIT| Container| NA| NA
write-pkg| MIT| Container| NA| NA
yargs| MIT| Container| NA| NA
