perl-Carp|GPL+ or Artistic
perl-libs|(GPL+ or Artistic) and HSRL and MIT and UCD
perl-parent|GPL+ or Artistic
fipscheck-lib|BSD
libtirpc|SISSL and BSD
libnsl2|BSD and LGPLv2+
gdbm|GPLv3+
platform-python-setuptools|MIT
python3-libs|Python
perl-macros|GPL+ or Artistic
perl-Text-Tabs+Wrap|TTWL
perl-Errno|GPL+ or Artistic
perl-PathTools|(GPL+ or Artistic) and BSD
perl-threads-shared|GPL+ or Artistic
perl-interpreter|(GPL+ or Artistic) and (GPLv2+ or Artistic) and BSD and Public Domain and UCD
perl-MIME-Base64|(GPL+ or Artistic) and MIT
perl-Time-Local|GPL+ or Artistic
perl-Digest|GPL+ or Artistic
perl-Net-SSLeay|Artistic 2.0
perl-Pod-Escapes|GPL+ or Artistic
perl-TermReadKey|(Copyright only) and (Artistic or GPL+)
perl-Mozilla-CA|MPLv2.0
isl|MIT
gzip|GPLv3+ and GFDL
cracklib-dicts|LGPLv2+
libpwquality|BSD or GPLv2+
libedit|BSD
emacs-filesystem|GPLv3+ and CC0-1.0
glibc-headers|LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL
perl-Term-Cap|GPL+ or Artistic
libkadm5|MIT
shadow-utils|BSD and GPLv2+
util-linux|GPLv2 and GPLv2+ and LGPLv2+ and BSD with advertising and Public Domain
openssh-clients|BSD
git-core-doc|GPLv2
pkgconf-m4|GPLv2+ with exceptions
libsecret|LGPLv2+
pcre-utf16|BSD
openssl|OpenSSL
pcre-utf32|BSD
groff-base|GPLv3+ and GFDL and BSD and MIT
perl-Getopt-Long|GPLv2+ or Artistic
perl-podlators|(GPL+ or Artistic) and FSFAP
perl-Pod-Perldoc|GPL+ or Artistic
perl-libnet|GPL+ or Artistic
perl-IO-Socket-SSL|GPL+ or Artistic
git|GPLv2
pkgconf|ISC
libverto-devel|MIT
zlib-devel|zlib and Boost
pcre2-devel|BSD
krb5-devel|MIT
libxcrypt-devel|LGPLv2+ and BSD and Public Domain
libatomic|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
gcc-c++|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
openssl-devel|OpenSSL
perl-Exporter|GPL+ or Artistic
perl-Scalar-List-Utils|GPL+ or Artistic
fipscheck|BSD
libmpc|LGPLv3+ and GFDL
gdbm-libs|GPLv3+
perl-Text-ParseWords|GPL+ or Artistic
platform-python-pip|MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)
platform-python|Python
cpp|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
perl-Socket|GPL+ or Artistic
perl-Unicode-Normalize|GPL+ or Artistic
perl-File-Path|GPL+ or Artistic
perl-constant|GPL+ or Artistic
perl-threads|GPL+ or Artistic
perl-IO|GPL+ or Artistic
perl-IO-Socket-IP|GPL+ or Artistic
perl-File-Temp|GPL+ or Artistic
perl-Digest-MD5|(GPL+ or Artistic) and BSD
perl-Storable|GPL+ or Artistic
perl-Data-Dumper|GPL+ or Artistic
perl-Error|(GPL+ or Artistic) and MIT
perl-Term-ANSIColor|GPL+ or Artistic
libstdc++-devel|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
cracklib|LGPLv2+
pam|BSD and GPLv2+
libubsan|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
libfdisk|LGPLv2+
kernel-headers|GPLv2 and Redistributable| no modification permitted
ncurses|MIT
less|GPLv3+ or BSD
libsemanage|LGPLv2+
libutempter|LGPLv2+
openssh|BSD
git-core|GPLv2
pcre2-utf32|BSD
keyutils-libs-devel|GPLv2+ and LGPLv2+
pcre2-utf16|BSD
binutils|GPLv3+
libasan|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
libgomp|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
perl-Pod-Simple|GPL+ or Artistic
perl-Encode|(GPL+ or Artistic) and Artistic 2.0 and UCD
perl-Pod-Usage|GPL+ or Artistic
perl-HTTP-Tiny|GPL+ or Artistic
perl-URI|GPL+ or Artistic
perl-Git|GPLv2
libpkgconf|ISC
pkgconf-pkg-config|ISC
libcom_err-devel|MIT
libsepol-devel|LGPLv2+
libselinux-devel|Public Domain
glibc-devel|LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL
pcre-cpp|BSD
gcc|GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
pcre-devel|BSD
make|GPLv3+

