Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libxrender1 | Python-2.0 | NA | True | NA
libmnl0 | LGPL-2.1 | NA | True | NA
fonts-dejavu-core | (MIT OR ISC OR MITNFA) | NA | True | NA
git-man | GPL-2.0 | NA | True | NA
libhwloc5 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libhwloc-dev | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxau6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libxext6 | ((MIT OR ISC OR MITNFA) AND GPL with exception) | NA | True | NA
libopenmpi-dev | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxfixes3 | ((MIT OR ISC OR MITNFA) AND GPLv3) | NA | True | NA
libcap-ng0 | GPL-2.0 | NA | True | NA
libibverbs-dev | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxt6 | (MIT OR ISC OR MITNFA) | NA | True | NA
dbus | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libopenmpi1.10 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
ocl-icd-libopencl1 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libltdl-dev | GPL-2.0 | NA | True | NA
gsfonts | GPL-2.0 | NA | True | NA
openmpi-common | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxaw7 | (MIT OR ISC OR MITNFA) | NA | True | NA
unzip | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libxrandr2 | Python-2.0 | NA | True | NA
libmagic1 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
sgml-data | (MPL-1.0 AND Unique) | NA | True | NA
libpaper1 | GPL-2.0 | NA | True | NA
mime-support | Public Domain | NA | True | NA
libxv1 | (MIT OR ISC OR MITNFA) | NA | True | NA
