Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
ajv| MIT| Container| NA| NA
app-root-path| MIT| Container| NA| NA
async| MIT| Container| NA| NA
babel-code-frame| MIT| Container| NA| NA
browser-stdout| ISC| Container| NA| NA
caseless| Apache-2.0| Container| NA| NA
chalk| MIT| Container| NA| NA
cmd-shim| BSD-2-Clause| Container| NA| NA
columnify| MIT| Container| NA| NA
commander| MIT| Container| NA| NA
command-join| MIT| Container| NA| NA
concat-stream| MIT| Container| NA| NA
conventional-changelog-cli| MIT| Container| NA| NA
conventional-recommended-bump| MIT| Container| NA| NA
cosmiconfig| MIT| Container| NA| NA
cross-spawn| MIT| Container| NA| NA
debug| MIT| Container| NA| NA
dedent| MIT| Container| NA| NA
diff| BSD-3-Clause| Container| NA| NA
doctrine| Apache-2.0| Container| NA| NA
escape-string-regexp| MIT| Container| NA| NA
eslint| MIT| Container| NA| NA
eslint-config-prettier| MIT| Container| NA| NA
eslint-plugin-prettier| MIT| Container| NA| NA
eslint-scope| BSD-2-Clause| Container| NA| NA
eslint-visitor-keys| Apache-2.0| Container| NA| NA
espree| BSD-2-Clause| Container| NA| NA
esquery| BSD-3-Clause| Container| NA| NA
esutils| | Container| NA| NA
execa| MIT| Container| NA| NA
fast-diff| Apache-2.0| Container| NA| NA
file-entry-cache| MIT| Container| NA| NA
find-parent-dir| MIT| Container| NA| NA
find-up| MIT| Container| NA| NA
fs-extra| MIT| Container| NA| NA
functional-red-black-tree| MIT| Container| NA| NA
get-port| MIT| Container| NA| NA
get-stdin| MIT| Container| NA| NA
glob| ISC| Container| NA| NA
globals| MIT| Container| NA| NA
globby| MIT| Container| NA| NA
glob-parent| ISC| Container| NA| NA
graceful-fs| ISC| Container| NA| NA
growl| MIT| Container| NA| NA
handlebars| MIT| Container| NA| NA
he| MIT| Container| NA| NA
highlight.js| BSD-3-Clause| Container| NA| NA
hosted-git-info| ISC| Container| NA| NA
husky| MIT| Container| NA| NA
ignore| MIT| Container| NA| NA
imurmurhash| MIT| Container| NA| NA
inquirer| MIT| Container| NA| NA
is-ci| MIT| Container| NA| NA
is-glob| MIT| Container| NA| NA
is-resolvable| ISC| Container| NA| NA
is-windows| MIT| Container| NA| NA
jest-docblock| MIT| Container| NA| NA
jest-validate| MIT| Container| NA| NA
json-stable-stringify-without-jsonify| MIT| Container| NA| NA
js-yaml| MIT| Container| NA| NA
lerna| MIT| Container| NA| NA
levn| MIT| Container| NA| NA
lint-staged| MIT| Container| NA| NA
listr| MIT| Container| NA| NA
load-json-file| MIT| Container| NA| NA
lodash| MIT| Container| NA| NA
log-symbols| MIT| Container| NA| NA
marked| MIT| Container| NA| NA
micromatch| MIT| Container| NA| NA
minimatch| ISC| Container| NA| NA
mkdirp| MIT| Container| NA| NA
mocha| MIT| Container| NA| NA
natural-compare| MIT| Container| NA| NA
node-fetch| MIT| Container| NA| NA
normalize-path| MIT| Container| NA| NA
npmlog| ISC| Container| NA| NA
npm-which| MIT| Container| NA| NA
optionator| MIT| Container| NA| NA
package-json| MIT| Container| NA| NA
parse5| MIT| Container| NA| NA
path-exists| MIT| Container| NA| NA
path-is-inside| (WTFPL OR MIT)| Container| NA| NA
p-finally| MIT| Container| NA| NA
pify| MIT| Container| NA| NA
please-upgrade-node| MIT| Container| NA| NA
pluralize| MIT| Container| NA| NA
p-map| MIT| Container| NA| NA
prettier| MIT| Container| NA| NA
progress| MIT| Container| NA| NA
r2| Apache-2.0| Container| NA| NA
read-cmd-shim| ISC| Container| NA| NA
read-pkg| MIT| Container| NA| NA
regexpp| MIT| Container| NA| NA
require-uncached| MIT| Container| NA| NA
rimraf| ISC| Container| NA| NA
safe-buffer| MIT| Container| NA| NA
semver| ISC| Container| NA| NA
shelljs| BSD-3-Clause| Container| NA| NA
signal-exit| ISC| Container| NA| NA
slash| MIT| Container| NA| NA
staged-git-files| BSD-2-Clause| Container| NA| NA
string-argv| MIT| Container| NA| NA
stringify-object| BSD-2-Clause| Container| NA| NA
strip-ansi| MIT| Container| NA| NA
strip-indent| MIT| Container| NA| NA
strip-json-comments| MIT| Container| NA| NA
strong-log-transformer| Apache-2.0| Container| NA| NA
supports-color| MIT| Container| NA| NA
table| BSD-3-Clause| Container| NA| NA
temp-write| MIT| Container| NA| NA
text-table| MIT| Container| NA| NA
turndown| MIT| Container| NA| NA
typedarray-to-buffer| MIT| Container| NA| NA
typedoc| Apache-2.0| Container| NA| NA
typedoc-default-themes| Apache-2.0| Container| NA| NA
typedoc-plugin-markdown| MIT| Container| NA| NA
typescript| Apache-2.0| Container| NA| NA
write-file-atomic| ISC| Container| NA| NA
write-json-file| MIT| Container| NA| NA
write-pkg| MIT| Container| NA| NA
yargs| MIT| Container| NA| NA
